                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4472,                 3.8558,                 1.1224,                0.46628,                0.49893,                0.53648,                0.35134,                 1.2504,                 2.0371,                 1.0059,             0.00033117,             0.00033117,             0.00033117
                      2,                 1.3368,                 2.4148,                 1.0681,                0.70707,                 0.6178,                0.65473,                 0.4054,                 1.3177,                 1.6394,                 1.0904,             0.00066121,             0.00066121,             0.00066121
                      3,                 1.3239,                 1.8001,                 1.0572,                0.53861,                0.62044,                0.60467,                0.38559,                 1.3034,                 1.3764,                 1.0429,             0.00098796,             0.00098796,             0.00098796
                      4,                 1.2893,                  1.452,                 1.0467,                0.71003,                0.72474,                0.76059,                0.49929,                 1.2148,                  1.019,                 1.0134,             0.00098515,             0.00098515,             0.00098515
                      5,                 1.2666,                 1.2177,                 1.0436,                0.62557,                0.70427,                0.73342,                0.46958,                 1.2678,                 1.1258,                 1.0265,             0.00098515,             0.00098515,             0.00098515
                      6,                 1.2109,                 1.0906,                 1.0151,                 0.7712,                0.79925,                0.85385,                0.55548,                 1.1696,                0.88864,                 1.0208,              0.0009802,              0.0009802,              0.0009802
                      7,                  1.205,                   1.03,                 1.0165,                0.79107,                0.70553,                 0.8115,                0.56004,                 1.1289,                0.89243,                0.99186,             0.00097525,             0.00097525,             0.00097525
                      8,                 1.1903,                0.98542,                 1.0094,                0.74758,                0.80732,                 0.8381,                0.58736,                 1.1102,                0.85614,                0.97365,              0.0009703,              0.0009703,              0.0009703
                      9,                 1.1605,                0.94096,                 1.0038,                0.73724,                0.74401,                0.82497,                0.55652,                 1.1579,                 0.8726,                0.99014,             0.00096535,             0.00096535,             0.00096535
                     10,                 1.1351,                0.90816,                0.99958,                0.85723,                0.78481,                0.86986,                 0.6157,                 1.1038,                0.83142,                0.99442,              0.0009604,              0.0009604,              0.0009604
                     11,                 1.1132,                 0.8662,                0.99015,                0.80567,                 0.8808,                0.89166,                0.65309,                 1.0823,                0.77093,                0.96203,             0.00095545,             0.00095545,             0.00095545
                     12,                 1.1158,                 0.8699,                0.98827,                0.79614,                0.84717,                 0.8898,                0.64363,                 1.0851,                 0.7561,                0.97016,              0.0009505,              0.0009505,              0.0009505
                     13,                 1.0921,                0.83434,                0.97888,                0.80306,                0.80974,                0.87455,                0.63858,                 1.0658,                0.72987,                0.96791,             0.00094555,             0.00094555,             0.00094555
                     14,                 1.0947,                0.82258,                0.98162,                 0.8169,                0.84221,                0.89018,                0.64004,                 1.0641,                0.76665,                0.96858,              0.0009406,              0.0009406,              0.0009406
                     15,                 1.0665,                0.78767,                0.97306,                0.82572,                0.86563,                 0.9143,                0.68302,                 1.0233,                0.71128,                0.95478,             0.00093565,             0.00093565,             0.00093565
                     16,                 1.0614,                0.77821,                0.96985,                0.84481,                0.85902,                0.89538,                0.65598,                 1.0465,                0.73892,                0.95589,              0.0009307,              0.0009307,              0.0009307
                     17,                 1.0408,                 0.7566,                0.96286,                0.82355,                 0.8605,                0.92209,                0.67655,                 1.0252,                0.68994,                0.95812,             0.00092575,             0.00092575,             0.00092575
