                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5926,                 2.0921,                 5.0153,                  0.967,                0.98564,                0.31351,                0.56379,                0.31147,                0.97129,                0.30895,                0.55077,                0.26089,                 1.6127,                 2.0314,                 3.6667,                 0.9534,             0.00065972,             0.00065972,             0.00065972
                      2,                 1.5136,                 1.9037,                 2.2306,                0.96267,                0.66564,                0.68265,                0.57999,                0.32012,                0.65275,                0.65753,                0.54902,                0.22662,                 1.5113,                 2.1028,                 1.6878,                 0.9477,              0.0013198,              0.0013198,              0.0013198
                      3,                 1.4955,                 1.8751,                 1.3566,                0.95298,                0.86018,                0.72146,                0.77932,                0.46828,                0.83178,                0.68037,                0.72452,                0.33736,                 1.5025,                  1.982,                 1.4719,                0.95002,              0.0019733,              0.0019733,              0.0019733
                      4,                  1.483,                 1.8495,                 1.1008,                0.95661,                0.85398,                0.64612,                0.74503,                0.44895,                0.82906,                0.62007,                0.71299,                0.35165,                 1.4697,                 1.9492,                 1.1991,                0.94825,              0.0019703,              0.0019703,              0.0019703
                      5,                 1.4388,                 1.7931,                 0.9731,                0.93978,                  0.896,                0.75799,                0.83533,                 0.5055,                0.87547,                0.73836,                0.80575,                0.38833,                 1.3967,                 1.7291,                0.89976,                0.92149,              0.0019703,              0.0019703,              0.0019703
                      6,                 1.4195,                 1.7632,                0.94302,                0.94386,                0.87718,                0.71233,                0.80601,                 0.4657,                0.84677,                0.67352,                0.75205,                0.31097,                 1.5316,                 1.9648,                 1.1842,                0.94017,              0.0019604,              0.0019604,              0.0019604
                      7,                 1.3938,                 1.7372,                0.88403,                0.92991,                0.92115,                0.72013,                0.80936,                0.49784,                0.91225,                0.71207,                0.79113,                0.38627,                 1.4342,                 1.7647,                   1.05,                0.93197,              0.0019505,              0.0019505,              0.0019505
                      8,                 1.3884,                  1.702,                0.85124,                0.92933,                0.89808,                 0.7846,                0.85882,                 0.5294,                0.86993,                0.76347,                0.82031,                0.37601,                 1.3974,                 1.7914,                0.83577,                0.92212,              0.0019406,              0.0019406,              0.0019406
                      9,                 1.3629,                 1.6952,                 0.8341,                0.92206,                0.88051,                0.77169,                0.85879,                0.52391,                0.86206,                0.74198,                 0.8245,                0.37989,                 1.4346,                 1.8202,                0.88794,                0.92774,              0.0019307,              0.0019307,              0.0019307
                     10,                 1.3638,                 1.6991,                0.80035,                0.91959,                0.90151,                0.76484,                0.85153,                0.54184,                0.87119,                0.75666,                0.83589,                 0.4288,                 1.3411,                 1.6852,                0.80129,                0.92601,              0.0019208,              0.0019208,              0.0019208
