                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59233,                 1.3042,                 1.0833,                 1.0946,                0.31723,                0.35368,                 0.2002,                0.08088,                0.31723,                0.35368,                0.17506,                0.08579,                 2.1494,                 95.557,                 13.766,                 2.9222,             0.00065574,             0.00065574,             0.00065574
                      2,                 0.5075,                0.38397,                0.48436,                0.98823,                0.06595,                0.50987,                0.05134,                0.02736,                 0.0712,                0.58707,                0.05858,                0.03339,                 2.3517,                 26.497,                 31.127,                  3.529,              0.0012897,              0.0012897,              0.0012897
                      3,                0.45011,                0.34583,                0.42318,                 0.9651,                0.76927,                0.60455,                0.67207,                0.47856,                0.76374,                0.59605,                0.66441,                 0.3878,                 1.3618,                 8.5617,                 2.4782,                 2.1904,              0.0018906,              0.0018906,              0.0018906
                      4,                 0.4554,                0.36599,                0.42869,                0.96159,                0.81656,                0.92998,                0.91541,                0.79886,                0.81499,                0.92819,                0.91402,                0.86479,                0.63493,                0.45091,                 1.1953,                 1.1645,              0.0018515,              0.0018515,              0.0018515
                      5,                0.39941,                0.32353,                 0.3707,                0.94352,                0.98928,                0.98384,                0.99175,                0.92463,                0.98928,                0.98384,                0.99175,                0.97191,                0.36388,                0.25857,                0.57656,                0.87734,              0.0018515,              0.0018515,              0.0018515
                      6,                0.38573,                0.32528,                0.35126,                0.94229,                0.99928,                0.99641,                  0.995,                0.95163,                0.99928,                0.99641,                  0.995,                0.98548,                0.35142,                0.19763,                0.42006,                 0.8122,               0.001802,               0.001802,               0.001802
                      7,                0.35933,                0.28844,                0.31819,                0.92797,                 0.9822,                0.99089,                 0.9934,                0.92942,                 0.9822,                0.99089,                 0.9934,                0.98925,                0.35683,                0.19271,                0.50589,                0.74436,              0.0017525,              0.0017525,              0.0017525
                      8,                0.32765,                0.26834,                0.30061,                0.90945,                0.99819,                0.99278,                  0.995,                0.96788,                0.99819,                0.99278,                  0.995,                0.99072,                 0.2519,                0.18163,                0.29137,                0.71831,               0.001703,               0.001703,               0.001703
                      9,                0.32867,                0.26937,                0.29205,                0.91643,                0.97347,                0.99102,                0.99416,                0.94905,                0.97347,                0.99102,                0.99416,                0.98105,                0.31143,                0.19818,                0.42158,                0.79595,              0.0016535,              0.0016535,              0.0016535
                     10,                0.31318,                0.25638,                0.28755,                 0.9095,                0.99248,                0.99461,                0.99449,                0.97462,                0.99248,                0.99461,                0.99449,                0.98731,                0.24216,                0.19655,                0.52845,                 0.7046,               0.001604,               0.001604,               0.001604
                     11,                0.29049,                0.25069,                0.26408,                0.90579,                0.98388,                0.98626,                 0.9939,                0.97601,                0.98388,                0.98626,                 0.9939,                0.98893,                0.25351,                0.16423,                0.32741,                0.71822,              0.0015545,              0.0015545,              0.0015545
                     12,                0.28779,                  0.246,                 0.2535,                 0.9039,                0.90641,                0.98025,                0.97251,                0.94927,                0.90641,                0.98025,                0.97251,                0.96717,                0.30454,                0.17723,                0.39761,                0.75373,               0.001505,               0.001505,               0.001505
                     13,                0.27623,                0.24803,                 0.2485,                0.90062,                0.99819,                0.99202,                  0.995,                0.98356,                0.99819,                0.99202,                  0.995,                 0.9922,                 0.2061,                 0.1626,                0.22892,                0.69501,              0.0014555,              0.0014555,              0.0014555
                     14,                0.27539,                0.24275,                0.24296,                0.89453,                 0.9946,                0.99264,                0.99489,                0.97598,                 0.9946,                0.99264,                0.99489,                0.99035,                0.24573,                0.16192,                0.32053,                0.70126,               0.001406,               0.001406,               0.001406
                     15,                 0.2732,                0.23256,                0.23075,                0.89462,                0.99921,                 0.9982,                  0.995,                0.99044,                0.99921,                 0.9982,                  0.995,                0.99312,                0.19865,                 0.1418,                0.17735,                0.68096,              0.0013565,              0.0013565,              0.0013565
                     16,                0.26211,                0.23346,                0.22389,                0.89376,                0.99929,                      1,                  0.995,                0.98244,                0.99929,                      1,                  0.995,                0.99113,                0.21965,                0.16754,                0.21803,                0.70467,               0.001307,               0.001307,               0.001307
                     17,                  0.258,                0.22783,                0.23009,                0.89008,                0.99821,                0.99857,                  0.995,                0.97982,                0.99821,                0.99857,                  0.995,                0.99228,                 0.2395,                 0.1523,                0.22313,                 0.6992,              0.0012575,              0.0012575,              0.0012575
